# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
Title=Differential $0 \to 1$ jet resolution in $W^++$jets
RatioPlotReference=//home/hschulz/tex/HPC_Merging/8240/Wp_maxjet_9/Wp_max_9.yoda/PP_JetRates/log10_d_01
YLabel=$\text{d}\sigma/\text{d}\log_{10}(d_{01}/\text{GeV})$ [pb]
RatioPlot=1
LogY=1
RatioPlotYLabel=Fraction
RatioPlotYMin=0
RatioPlotYMax=1
XMin=0.25
XMax=3.25
LegendXPos=0.775
LegendYPos=0.925
YMin=2e-2
YMax=2e4
LegendOnly=//home/hschulz/tex/HPC_Merging/8240/Wp_maxjet_9/Wp_max_9.yoda/PP_JetRates/log10_d_01 //home/hschulz/tex/HPC_Merging/8240/Wp_maxjet_9/h0Wp0-g0-repack.hdf5.yoda/PP_JetRates/log10_d_01 //home/hschulz/tex/HPC_Merging/8240/Wp_maxjet_9/h0Wp2-g0-repack.hdf5.yoda/PP_JetRates/log10_d_01 //home/hschulz/tex/HPC_Merging/8240/Wp_maxjet_9/h0Wp4-g0-repack.hdf5.yoda/PP_JetRates/log10_d_01 //home/hschulz/tex/HPC_Merging/8240/Wp_maxjet_9/h0Wp6-g0-repack.hdf5.yoda/PP_JetRates/log10_d_01 //home/hschulz/tex/HPC_Merging/8240/Wp_maxjet_9/Wp8.yoda/PP_JetRates/log10_d_01
XLabel=$\log_{10}(d_{01}/\text{GeV})$
RatioPlotSameStyle=1
DrawOnly=//home/hschulz/tex/HPC_Merging/8240/Wp_maxjet_9/Wp_max_9.yoda/PP_JetRates/log10_d_01 //home/hschulz/tex/HPC_Merging/8240/Wp_maxjet_9/h0Wp0-g0-repack.hdf5.yoda/PP_JetRates/log10_d_01 //home/hschulz/tex/HPC_Merging/8240/Wp_maxjet_9/h0Wp1-g0-repack.hdf5.yoda/PP_JetRates/log10_d_01 //home/hschulz/tex/HPC_Merging/8240/Wp_maxjet_9/h0Wp2-g0-repack.hdf5.yoda/PP_JetRates/log10_d_01 //home/hschulz/tex/HPC_Merging/8240/Wp_maxjet_9/h0Wp3-g0-repack.hdf5.yoda/PP_JetRates/log10_d_01 //home/hschulz/tex/HPC_Merging/8240/Wp_maxjet_9/h0Wp4-g0-repack.hdf5.yoda/PP_JetRates/log10_d_01 //home/hschulz/tex/HPC_Merging/8240/Wp_maxjet_9/h0Wp5-g0-repack.hdf5.yoda/PP_JetRates/log10_d_01 //home/hschulz/tex/HPC_Merging/8240/Wp_maxjet_9/h0Wp6-g0-repack.hdf5.yoda/PP_JetRates/log10_d_01 //home/hschulz/tex/HPC_Merging/8240/Wp_maxjet_9/Wp7.yoda/PP_JetRates/log10_d_01 //home/hschulz/tex/HPC_Merging/8240/Wp_maxjet_9/Wp8.yoda/PP_JetRates/log10_d_01 //home/hschulz/tex/HPC_Merging/8240/Wp_maxjet_9/Wp9.yoda/PP_JetRates/log10_d_01
Legend=1
# END PLOT

# BEGIN HISTO1D //home/hschulz/tex/HPC_Merging/8240/Wp_maxjet_9/Wp_max_9.yoda/PP_JetRates/log10_d_01
LineColor=black
LineStyle=solid
Path=//home/hschulz/tex/HPC_Merging/8240/Wp_maxjet_9/Wp_max_9.yoda/PP_JetRates/log10_d_01
Title=${\rm sum}$
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
6.921176e-01	7.305686e-01	7.665894e+03	6.086049e+00	6.086049e+00
7.305686e-01	7.690196e-01	7.670495e+03	6.081059e+00	6.081059e+00
7.690196e-01	8.074706e-01	7.615469e+03	6.054464e+00	6.054464e+00
8.074706e-01	8.459216e-01	7.534691e+03	6.022110e+00	6.022110e+00
8.459216e-01	8.843725e-01	7.402688e+03	5.973368e+00	5.973368e+00
8.843725e-01	9.228235e-01	7.203233e+03	5.888063e+00	5.888063e+00
9.228235e-01	9.612745e-01	6.925066e+03	5.776773e+00	5.776773e+00
9.612745e-01	9.997255e-01	6.559590e+03	5.616186e+00	5.616186e+00
9.997255e-01	1.038176e+00	6.108456e+03	5.420614e+00	5.420614e+00
1.038176e+00	1.076627e+00	5.558402e+03	5.170359e+00	5.170359e+00
1.076627e+00	1.115078e+00	4.904510e+03	4.863125e+00	4.863125e+00
1.115078e+00	1.153529e+00	4.168237e+03	4.476306e+00	4.476306e+00
1.153529e+00	1.191980e+00	3.366261e+03	4.023654e+00	4.023654e+00
1.191980e+00	1.230431e+00	2.515067e+03	3.478229e+00	3.478229e+00
1.230431e+00	1.268882e+00	1.709797e+03	2.868521e+00	2.868521e+00
1.268882e+00	1.307333e+00	1.043052e+03	2.240282e+00	2.240282e+00
1.307333e+00	1.345784e+00	6.140920e+02	1.717479e+00	1.717479e+00
1.345784e+00	1.384235e+00	3.673572e+02	1.333399e+00	1.333399e+00
1.384235e+00	1.422686e+00	2.232643e+02	1.035708e+00	1.035708e+00
1.422686e+00	1.461137e+00	1.375726e+02	8.117820e-01	8.117820e-01
1.461137e+00	1.499588e+00	8.465769e+01	6.362605e-01	6.362605e-01
1.499588e+00	1.538039e+00	5.319755e+01	5.045348e-01	5.045348e-01
1.538039e+00	1.576490e+00	3.335921e+01	3.989371e-01	3.989371e-01
1.576490e+00	1.614941e+00	2.134946e+01	3.195113e-01	3.195113e-01
1.614941e+00	1.653392e+00	1.431113e+01	2.613087e-01	2.613087e-01
1.653392e+00	1.691843e+00	9.199490e+00	2.096657e-01	2.096657e-01
1.691843e+00	1.730294e+00	6.006993e+00	1.692434e-01	1.692434e-01
1.730294e+00	1.768745e+00	3.389288e+00	1.267429e-01	1.267429e-01
1.768745e+00	1.807196e+00	2.099359e+00	9.986411e-02	9.986411e-02
1.807196e+00	1.845647e+00	1.298736e+00	7.868303e-02	7.868303e-02
1.845647e+00	1.884098e+00	7.950373e-01	6.127964e-02	6.127964e-02
1.884098e+00	1.922549e+00	3.578887e-01	4.117795e-02	4.117795e-02
1.922549e+00	1.961000e+00	1.633863e-01	2.764907e-02	2.764907e-02
1.961000e+00	1.999451e+00	8.864773e-02	2.035638e-02	2.035638e-02
1.999451e+00	2.037902e+00	9.667967e-03	6.846388e-03	6.846388e-03
2.037902e+00	2.076353e+00	9.205178e-03	6.509044e-03	6.509044e-03
2.076353e+00	2.114804e+00	4.635731e-03	4.635731e-03	4.635731e-03
2.114804e+00	2.153255e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.153255e+00	2.191706e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.191706e+00	2.230157e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.230157e+00	2.268608e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.268608e+00	2.307059e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.307059e+00	2.345510e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.345510e+00	2.383961e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.383961e+00	2.422412e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.422412e+00	2.460863e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.460863e+00	2.499314e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.499314e+00	2.537765e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.537765e+00	2.576216e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.576216e+00	2.614667e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.614667e+00	2.653118e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.653118e+00	2.691569e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.691569e+00	2.730020e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.730020e+00	2.768471e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.768471e+00	2.806922e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.806922e+00	2.845373e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.845373e+00	2.883824e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.883824e+00	2.922275e+00	0.000000e+00	0.000000e+00	0.000000e+00
